,count,hate_speech,offensive_language,neither,class,tweet
23561,6,0,6,0,1,Yall Niggahs got me fucked up thinkin ima soft ass Lemme sing a love song to you ass niggah &#9995; .
17589,3,0,0,3,2,RT @SaraLuvvXXX: Today @GlennAlfonso did my hair and makeup.. He always tries to make me look like a monkey. http://t.co/tym2JD7h3Z
18797,3,0,3,0,1,"RT @__VIIXXIV &#128514;

Me: Baby I cooked
Bae: What's for dinner?
Me: That bitch you been texting http://t.co/GwT19xIXUz"
20754,3,0,3,0,1,RT @wegomakeit: pussy pussy pussy i smell ya frum bout a mile away&#128564;
11830,3,0,3,0,1,"If anything I've ever said has offended you, that's a YOU problem not a me problem. Don't be such a little bitch."
18953,3,0,0,3,2,"RT @alisonkent: Also as part of my release day gift (yes, we get those!) this adorable bumblebee bear! #Montlake http://t.co/SC3AjXCiRB"
19185,3,0,3,0,1,RT @chvrchs: my rapper name would be nigger
2941,3,0,3,0,1,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.
11413,3,1,2,0,1,I would def call Dwight a cradle robbing faggot if I were Kobe.
17402,3,0,3,0,1,RT @RahleeFranklin: This bitch got a body like Trey Songz &#128514; http://t.co/KSiqmY4W8D
20175,3,0,3,0,1,RT @neeshhuh: @Mariah7147 @Vontey_isa_boss it's knives bitch
15983,3,0,3,0,1,RT @ImJustCeej: RT @BarackOMamba: RT @IntenseDesire: Bow wow look like the stress of saving a hoe is wearing him down http://t.co/mTzjAAc0W2
8326,3,0,0,3,2,"Bjergsen just made a full AS rune page. I don't just me full AS reds and Quints I mean AS reds, blues, yellows, and Quints. 47% AS"
9145,3,0,3,0,1,Dwight could've had me instead of that ugly young hoe&#128553;
1325,3,0,0,3,2,&#8220;@HeyKeifer: Golden Oreos &#128016; regular Oreos &#128686;&#8221; YES!!!
6745,3,0,0,3,2,"@leprechaun_ie Strong with the Force, leprechauns are."
2726,3,0,2,1,1,@BrandNewAndrew lmaooo roosters is hot trash bro u know it
9903,3,0,3,0,1,"Half these females with these twitter names like ""eat my pussy"" ain't even about that life bro.."
23795,6,1,5,0,1,"You girls got no job, no college set up to have a better future, then get mad when a nigga leave you cause all you got is pussy"
19520,3,0,2,1,1,RT @hippiescrub: egg avi in my mentions with 0 followers pussy bo dont want war .
17514,3,0,2,1,1,RT @Roberto0oO0: @kitten_nugget69 @danusaur aye stfu you dyke lookin bitch I'm pretty sure you have a bigger dick than your boyfriend
